,Medicine Name,Uses,Side_effects
0,Acrotac 25mg Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
1,Actoid 25mg Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
2,Acrotac 10mg Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
3,Aceret 25 Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
4,Arpimune ME 100mg Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
5,Actoid 10 Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
6,Acipsor 25mg Capsule,Psoriasis,Dryness in mouth Skin peeling Itching Hair loss Dry skin Lip inflammation Dry eye Inflammation of the nose
7,Betnovate-S Ointment,Eczema Psoriasis,Burning sensation Itching Skin pain Dry skin
8,Betasalic Ointment,Eczema Psoriasis,Burning sensation Itching Skin pain Dry skin
9,Bariderm-S Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
10,Diplomax Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
11,Diprobate S Plus Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
12,Dipsalic F Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
13,Dermtone 25mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
14,Exsora Ointment,Psoriasis,Dry skin Application site reactions burning irritation itching and redness
15,Ezimet-S Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
16,Eclo 6 Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
17,Folitrax 25 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
18,Folitrax 25 Injection,Psoriasis,Abdominal pain Indigestion Loss of appetite Nausea Vomiting Tiredness Mouth sore Low blood platelets Hair loss
19,Folitrax 20 Injection,Psoriasis,Abdominal pain Indigestion Loss of appetite Nausea Vomiting Tiredness Mouth sore Low blood platelets Hair loss
20,Folitrax 7.5mg Injection,Psoriasis,Abdominal pain Indigestion Loss of appetite Nausea Vomiting Tiredness Mouth sore Low blood platelets Hair loss
21,FMH-Coalsal Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
22,Halox S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
23,HH Salic Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
24,Halotop-S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
25,Halox S Lotion,Eczema Psoriasis,Burning sensation Stinging sensation
26,HH Salic Lotion,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
27,Halobet S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
28,Halox ES Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
29,Halotop-S Lotion,Eczema Psoriasis,Burning sensation Stinging sensation
30,Halonext-S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
31,Halosys -S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
32,Heximar-B Ointment,Psoriasis,Itching Headache Nasopharyngitis inflammation of the throat and nasal passages Psoriasis Scaling Upper respiratory tract infection
33,Heximar Ointment,Psoriasis,Dry skin Skin irritation Itching Burning sensation Stinging sensation Rash
34,Halonova S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
35,HH Salic 6 Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
36,Halox S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
37,HH Salic Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
38,Halosys-S Lotion,Eczema Psoriasis,Burning sensation Stinging sensation
39,Haloderm S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
40,Halofast S Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
41,Halostrol S 6% Ointment,Eczema Psoriasis,Burning sensation Stinging sensation
42,Intacept 50mg Injection,Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Allergic reaction Upper respiratory tract infection Itching Rash Injection site reaction
43,Iminoral 100 Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
44,Iminoral 50 Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
45,Intacept 25 Solution for Injection,Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Allergic reaction Upper respiratory tract infection Itching Rash Injection site reaction
46,Keralin Ointment,Psoriasis,Application site reactions burning irritation itching and redness
47,Kayavate S Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
48,Lozivate-MF Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
49,Lobate S Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
50,Lac Soft C Gel,Eczema Psoriasis,Application site reactions burning irritation itching and redness
51,Lozivate-S Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
52,Lozivate-MF Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
53,Lozivate-MF Lotion,Eczema Psoriasis,Application site reactions burning irritation itching and redness
54,Medisalic Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
55,Melanocyl Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
56,Melanocyl Solution,Vitiligo Psoriasis,Application site reactions burning irritation itching and redness
57,Momate S Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
58,Mext 7.5 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
59,Mabura 40mg Injection,Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Headache Sinus inflammation Rash Upper respiratory tract infection Injection site reaction
60,Mext 10 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
61,Mext 15 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
62,Mexate 7.5 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
63,Momoz S Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
64,Metasone S Ointment,Eczema Psoriasis,Itching Burning sensation Erythema skin redness Scaling
65,Methosis 7.5mg Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
66,Methosis 5mg Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
67,Macsoralen Lotion,Vitiligo Psoriasis,Application site reactions burning irritation itching and redness
68,Niosalic Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
69,Niosalic 6 Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
70,Neosoralen Forte 25mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
71,Neosoralen 5mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
72,Neosoralen Lotion,Vitiligo Psoriasis,Application site reactions burning irritation itching and redness Blisters on skin
73,Oncotrex 7.5 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
74,Oncotrex 5 Tablet,Psoriasis,Ulcerative stomatitis Nausea Abdominal pain Increased liver enzymes Hair loss Decreased blood cells red cells white cells and platelets
75,Octamop Lotion,Vitiligo Psoriasis,Application site reactions burning irritation itching and redness
76,Octamop Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
77,Propysalic NF Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
78,Propysalic NF6 Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
79,Psorid 100 Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
80,Propysalic  NF Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
81,Psorid 50 Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
82,Pasitrex Ointment,Psoriasis,Dry skin Skin irritation Itching Burning sensation Stinging sensation Rash
83,Propysalic NF Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
84,Powercort-S 3% Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
85,Psorid 100mg Oral Solution,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
86,Panimun Bioral 100mg Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
87,Panimun Bioral 50mg Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
88,Powercort-S 6% Ointment,Eczema Psoriasis,Application site reactions burning irritation itching and redness
89,Psorid 25 Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
90,Powercort-S 6% Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
91,Panimun Bioral 25mg Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
92,Provate S Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
93,Plaintar-CS Lotion,Psoriasis,Thinning of skin Dry skin Application site reactions burning irritation itching and redness
94,Psoratop 25mg Tablet,Vitiligo Psoriasis,Itching Erythema skin redness Nausea
95,Remicade Injection,Rheumatoid arthritis Ankylosing spondylitis Psoriasis Ulcerative colitis Crohn’s disease,Headache Sinus inflammation Upper respiratory tract infection Infusion reaction Abdominal pain Sore throat
96,Relysal Lotion,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
97,Relysal Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
98,Sternon-S Lotion,Eczema Psoriasis,Burning sensation Itching Skin pain Dry skin
99,Sorvate Ointment,Psoriasis,Blisters on skin Itching
100,Sorvate C Ointment,Psoriasis,Itching Rash
101,Sprintas 100mg Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
102,Sorifix Solo Ointment,Psoriasis,Dry skin Skin irritation Itching Burning sensation Stinging sensation Rash
103,Sandimmun Neoral 50mg Soft Gelatin Capsule,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantation,Headache Nausea Vomiting Increased hair growth High blood pressure Renal dysfunction Loss of appetite Diarrhea Tremors Gingival hypertrophy gum enlargement
104,Salobet Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
105,Salobet Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
106,Salista C Ointment,Psoriasis,Skin peeling Thinning of skin Application site reactions burning irritation itching and redness
107,Sternon-S Ointment,Eczema Psoriasis,Burning sensation Itching Skin pain Dry skin
