,Medicine Name,Uses,Side_effects
0,Avastin 400mg Injection,"Cancer of colon and rectum, Non-small cell lung cancer, Kidney cancer, Brain tumor, Ovarian cancer, Cervical cancer","Rectal bleeding, Taste change, Headache, Nosebleeds, Back pain, Dry skin, High blood pressure, Protein in urine, Inflammation of the nose"
1,Augmentin 625 Duo Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
2,Azithral 500 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
3,Ascoril LS Syrup,Cough with mucus,"Nausea, Vomiting, Diarrhea, Upset stomach, Stomach pain, Allergic reaction, Dizziness, Headache, Rash, Hives, Tremors, Palpitations, Muscle cramp, Increased heart rate"
4,Aciloc 150 Tablet,Gastroesophageal reflux disease ,"Headache, Diarrhea, Gastrointestinal disturbance"
4,Aciloc 150 Tablet,Peptic ulcer disease,"Headache, Diarrhea, Gastrointestinal disturbance"
5,Allegra 120mg Tablet,Sneezing and runny nose due to allergies,"Headache, Drowsiness, Dizziness, Nausea"
5,Allegra 120mg Tablet,Allergic conditions,"Headache, Drowsiness, Dizziness, Nausea"
6,Avil 25 Tablet,Allergic conditions,Sedation
6,Avil 25 Tablet,Respiratory disease with excessive mucus,Sedation
6,Avil 25 Tablet,"Skin conditions with inflammation & itching, Treatment and prevention of, Meniere's disease",Sedation
7,Aricep 5 Tablet,Alzheimer's disease,"Common cold, Urinary incontinence, Rash, Nausea, Diarrhea, Insomnia difficulty in sleeping, Weight loss, Accidental injury"
8,Amoxyclav 625 Tablet,Bacterial infections,"Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
9,Atarax 25mg Tablet,Anxiety,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
9,Atarax 25mg Tablet,Skin conditions with inflammation & itching,"Sedation, Nausea, Vomiting, Upset stomach, Constipation"
10,Azee 500 Tablet,Bacterial infections,"Nausea, Abdominal pain, Diarrhea"
11,Anovate Cream,Piles,Application site reactions burning irritation itching and redness
12,Allegra-M Tablet,Sneezing and runny nose due to allergies,"Nausea, Diarrhea, Vomiting, Skin rash, Flu like symptoms, Headache, Drowsiness, Dizziness"
13,Ascoril D Plus Syrup Sugar Free,Dry cough,"Nausea, Vomiting, Loss of appetite, Headache"
14,Alex Syrup,Dry cough,"Nausea, Vomiting, Loss of appetite, Headache"
15,Armotraz Tablet,Breast cancer,"Hot flashes, Nausea, Osteoporosis, Skin rash, Weakness"
16,Augmentin Duo Oral Suspension,"Resistance, Tuberculosis ","Abdominal pain, Allergy, Vomiting, Nausea, Diarrhea, Mucocutaneous candidiasis"
